command_0;我的病怎么样了
command_1;病什么时候好
command_2;我现在怎么样了
command_3;我应该没事了吧
command_4;我得了什么病
command_5;我还能治好吗
command_6;我多久能好
command_7;能好起来吗
command_8;我还能恢复健康吗
command_9;发生什么事了
command_10;怎么了
command_11;我在哪儿
command_12;我为什么会在这里
command_13;你是谁
command_14;我睡了多久了
command_15;现在几点了
command_16;我该怎么办
command_17;我醒了
command_18;我手术顺利吗
command_19;请问我手术进行多长时间
command_20;手术效果怎么样
command_21;会不会有后遗症
command_22;会有什么并发症吗
command_23;我挺过来了
command_24;我觉得手术好像也没有那么疼
command_25;我现在问题解决了吗
command_26;什么时候能出院
command_27;我多久能出院
command_28;我什么时候可以回家
command_29;我想回家
command_30;我浑身瘫软
command_31;我身上好痛
command_32;不好意思
command_33;这里太痛了
command_34;帮我缓解下疼痛
command_35;我喘不上气
command_36;我想吐
command_37;我能康复吗
command_38;我感觉很难受
command_39;我有点口渴
command_40;我好渴
command_41;我渴了
command_42;我嘴好干
command_43;我要喝饮料
command_44;我想要喝水
command_45;给我点纸巾
command_46;帮我拿下水
command_47;请帮我接一杯白开水
command_48;我想要喝热水
command_49;我想要喝温水
command_50;我想要喝凉水
command_51;这水有点烫
command_52;能帮我再来一杯水吗
command_53;帮我多接一点水
command_54;我能喝水吗
command_55;我很口渴
command_56;给我水喝
command_57;买点吃的
command_58;我想吃东西
command_59;可以给我拿点吃的吗
command_60;扶我起来
command_61;我想坐起来
command_62;帮我翻下身
command_63;我想翻身
command_64;帮我活动一下身体
command_65;我想出去走走
command_66;我想要出去透透气
command_67;帮我打开窗户
command_68;我想看会儿电视
command_69;我想玩手机
command_70;把手机给我
command_71;叫医生过来一下
command_72;帮我叫医生
command_73;医生在哪里
command_74;我的医生呢
command_75;我的护士在哪里
command_76;我该怎么叫护士
command_77;需不需要继续吃药
command_78;药该怎么吃
command_79;今天还有别的检查吗
command_80;需不需要复查
command_81;医生说有什么注意事项吗
command_82;我为什么说不出话来
command_83;我怎么说不出来了
command_84;我多久能恢复说话啊
command_85;我什么时候才能说话
command_86;我什么时候可以出院
command_87;我感到口苦
command_88;你们能听见我的声音吗
command_89;我有话要说
command_90;拿纸笔给我
command_91;我家人在哪里
command_92;麻烦你了
command_93;我的家人呢
command_94;帮我和家里人说一声
command_95;我想通知我的家人
command_96;让你们担心了
command_97;我想一个人安静
command_98;我需要帮助
command_99;看看我
command_100;我想去上个厕所
command_101;帮我擦下脸
command_102;可以陪我一会儿吗
command_103;别走开
command_104;花了多少钱
command_105;我有点害怕
command_106;医药费是谁付的
command_107;我想吃清淡点
command_108;我不能吃辣
command_109;我想把衣服脱了
command_110;这个药不见效
command_111;被子有点脏
command_112;我眼睛不舒服
command_113;我手有点肿
command_114;我不能动弹
command_115;我浑身难受
command_116;医生什么时候来
command_117;我不想打针
command_118;我需要家人照料
command_119;帮我关灯
command_120;我听不清
command_121;医生说我病了
command_122;这药我不能吃
command_123;我要你帮我
command_124;我想看亲人
command_125;我明白了
command_126;不要动我
command_127;我很难受
command_128;快叫我家人来
command_129;我要休息一下
command_130;我感觉好一点了
command_131;我头很痛
command_132;我想看报纸
command_133;我睡不着
command_134;我不想说话
command_135;打开灯
command_136;帮我一下
command_137;我需要医生
command_138;情况不严重
command_139;我全身痛的不行
command_140;我看不清楚
command_141;医生快过来
command_142;谢谢医生
command_143;太暗了
command_144;我不能喝酒
command_145;我戒烟了
command_146;我有点反胃
command_147;我腹泻了
command_148;我一直拉肚子
command_149;我想回房里去
